ClientID,IncFacID,Name,Gender,Age,DateEntered,MentorID
CL140,IF118,Uriel Burke,M,41,5/5/2023,
CL141,IF105,Xantha Spears,F,47,5/6/2023,
CL142,IF110,Reagan Reid,M,28,5/11/2023,
CL143,IF106,Aline Mosley,M,39,5/14/2023,
CL144,IF116,Hiram Randolph,M,37,5/16/2023,
CL145,IF115,Alexandra Ferguson,M,34,5/18/2023,
CL146,IF108,Gillian Ferrell,M,59,5/20/2023,
CL147,IF119,Kadeem Mann,F,51,5/24/2023,
CL148,IF102,Adria Campos,M,34,5/26/2023,
CL149,IF105,Joshua Sparks,M,49,5/29/2023,
CL150,IF107,Hermione Lynn,F,38,6/2/2023,
CL151,IF113,Melodie Reynolds,F,45,6/9/2023,
CL152,IF102,Oprah Tyler,M,58,6/11/2023,
CL153,IF110,Nerea Adams,M,42,6/19/2023,
CL154,IF113,Nathan Garner,F,59,6/19/2023,
CL155,IF114,Iona Alvarez,F,43,6/21/2023,
CL156,IF120,Jameson Underwood,F,52,6/22/2023,
CL157,IF110,Hamilton Pierce,F,34,6/23/2023,
CL158,IF120,Dennis Ochoa,M,31,6/23/2023,
CL159,IF116,Marsden Crosby,M,47,6/30/2023,
CL160,IF108,Scarlet Knight,F,57,7/3/2023,
CL161,IF102,Courtney Shepherd,M,37,7/7/2023,
CL162,IF111,Hollee Mclaughlin,M,40,7/10/2023,
CL163,IF120,Burton Schwartz,F,31,7/13/2023,
CL164,IF117,Travis Mcfadden,M,20,7/16/2023,
CL165,IF108,Wilma Blair,M,48,7/17/2023,
CL166,IF113,Leonard Martin,M,36,7/22/2023,
CL167,IF108,Connor Riggs,M,20,7/24/2023,
CL168,IF101,Ezekiel Goodwin,M,24,7/24/2023,
CL169,IF111,Shad Bridges,F,41,7/25/2023,
CL170,IF114,Dorian Richard,M,30,7/30/2023,
CL171,IF109,Luke Buckner,M,53,7/30/2023,
CL172,IF106,Ebony Neal,M,48,8/2/2023,
CL173,IF118,Stephanie Lott,M,43,8/6/2023,
CL174,IF103,Demetria Day,M,31,8/18/2023,
CL175,IF117,Kevyn Roth,F,28,8/20/2023,CL168
CL176,IF115,Nadine Doyle,M,47,8/30/2023,CL129
CL177,IF114,Theodore Pruitt,F,41,9/4/2023,CL125
CL178,IF104,Odysseus Vinson,F,34,9/4/2023,CL129
CL179,IF101,Ramona Smith,M,24,9/6/2023,CL118
CL180,IF102,Hilary Huffman,M,39,9/7/2023,CL127
CL181,IF115,Dustin Holcomb,F,34,9/8/2023,CL151
CL182,IF106,Chaim Cabrera,F,26,9/8/2023,CL163
CL183,IF106,Phillip Woodard,F,34,9/15/2023,CL165
CL184,IF110,Alma Riley,M,39,9/17/2023,CL153
CL185,IF112,Norman Forbes,F,20,9/27/2023,CL117
CL186,IF111,Talon William,M,49,9/28/2023,CL140
CL187,IF111,Ralph Hampton,M,22,9/29/2023,CL100
CL188,IF103,Hashim Kelly,M,54,10/4/2023,CL131
CL189,IF102,Fatima Hughes,M,55,10/9/2023,CL173
CL190,IF107,Riley Robinson,M,29,10/11/2023,CL172
CL191,IF112,Ila Kline,F,49,10/16/2023,CL143
CL192,IF118,Wylie Hampton,M,24,10/16/2023,CL101
CL193,IF104,Martina Mays,M,54,10/20/2023,CL144
CL194,IF111,Lee Aguirre,F,59,10/23/2023,CL130
CL195,IF109,Lars O'donnell,F,52,10/24/2023,CL103
CL196,IF114,Unity Sweeney,F,20,11/1/2023,CL128
CL197,IF103,Simon Ochoa,M,19,11/5/2023,CL146
CL198,IF107,Ethan Whitfield,M,31,11/11/2023,CL116
CL199,IF110,Ivan Morrow,M,23,11/17/2023,CL168
CL200,IF102,Andrew Nichols,F,24,11/19/2023,CL104
CL201,IF105,Thane Coffey,M,57,11/19/2023,CL165
CL202,IF104,Knox England,M,35,11/20/2023,CL138
CL203,IF106,Riley Chavez,F,55,11/23/2023,CL111
CL204,IF120,Aretha Huber,F,22,12/1/2023,CL163
CL205,IF109,Uma Leblanc,F,46,12/28/2023,CL131
CL206,IF118,Hedy Kennedy,F,48,12/29/2023,CL103
CL207,IF103,Wyatt Boyer,M,56,1/1/2024,CL156
CL208,IF113,Calvin Patel,F,38,1/3/2024,CL119
CL209,IF109,Preston Woods,F,34,1/4/2024,CL133
CL210,IF118,Tanek Mclaughlin,M,30,1/5/2024,CL120
CL211,IF104,Donovan Hamilton,M,45,1/10/2024,CL123
CL212,IF111,Duncan Olson,M,41,1/10/2024,CL140
CL213,IF110,Brittany Parks,F,44,1/12/2024,CL138
CL214,IF112,Alec Duran,M,37,1/15/2024,CL107
CL215,IF112,Jesse Robertson,M,55,1/18/2024,CL153
CL216,IF105,Jenette Booker,F,40,1/21/2024,CL100
CL217,IF104,Fay Levine,M,26,2/1/2024,CL137
CL218,IF103,Xaviera Barrera,F,48,2/9/2024,CL130
CL219,IF119,Jacob Jacobs,F,41,2/16/2024,CL107
CL220,IF102,Avram Stanton,F,30,2/17/2024,CL104
CL221,IF112,Amir Mcclain,M,26,2/18/2024,CL101
CL222,IF102,Sebastian Mcbride,F,44,2/19/2024,CL154
CL223,IF116,Quynn Merritt,F,48,3/4/2024,CL144
CL224,IF106,Kathleen Lane,M,27,3/7/2024,CL144
CL225,IF110,Peter Smith,F,52,3/13/2024,CL169
CL226,IF114,Frances Goodwin,M,34,3/15/2024,CL118
CL227,IF115,Ariel Owen,F,35,3/21/2024,CL112
CL228,IF106,Cade Pratt,F,58,3/22/2024,CL137
CL229,IF118,Britanney Ortiz,M,21,3/26/2024,CL151
CL230,IF105,Knox Robles,F,32,3/27/2024,CL125
CL231,IF104,Dennis Edwards,F,53,4/1/2024,CL162
CL232,IF114,Callie Reyes,M,27,4/3/2024,CL167
CL233,IF110,Signe Rush,M,18,4/6/2024,CL159
CL234,IF107,Ashton Booth,F,55,4/7/2024,CL100
CL235,IF109,Alvin Roth,F,33,4/8/2024,CL111
CL236,IF119,Rhea Fowler,F,34,4/14/2024,CL128
CL237,IF117,Linus Roth,M,24,4/16/2024,CL137
CL238,IF110,Tasha Barber,M,37,4/16/2024,CL158
CL239,IF111,Aphrodite Wood,M,23,4/16/2024,CL154
CL240,IF108,Ivor Merritt,M,38,4/18/2024,CL138
CL241,IF108,Amy Glenn,M,43,4/24/2024,CL115
CL242,IF117,Martina Nunez,F,53,4/24/2024,CL105
CL243,IF114,Beverly Byers,M,52,4/26/2024,CL143
CL244,IF113,Stacy Burnett,M,34,5/7/2024,CL143
CL245,IF119,Knox Houston,F,48,5/10/2024,CL104
CL246,IF114,Indira Wolfe,M,54,5/13/2024,CL100
CL247,IF118,Emma Whitney,M,24,5/13/2024,CL172
CL248,IF115,Nissim Hughes,F,55,5/18/2024,CL174
CL249,IF109,Karina Joseph,F,48,5/19/2024,CL109
